NAME,FOREIGN NAME,CATEGORY
suntory cc lemon drink - 500ml,三得利 CC柠檬饮料 500ml,Beverages
suntory oolong tea,三得利 乌龙茶,Beverages
suntory oolong tea - 2l,三得利 乌龙茶 2L,Beverages
thailand mogu mogu coconut juice coconut flavor - 320g,泰国Mogu Mogu 椰果果汁椰子味 320g,Beverages
thailand mogu mogu coconut juice honeydew melon flavor - 320g,泰国Mogu Mogu 椰果果汁哈蜜瓜味 320g,Beverages
thailand mogu mogu coconut juice orange flavor - 320g,泰国Mogu Mogu 椰果果汁 橙子味 320g,Beverages
thailand mogu mogu coconut juice pina colada flavor - 320g,泰国Mogu Mogu 椰果果汁 椰林飘香味 320g,Beverages
thailand mogu mogu coconut juice pineapple flavor - 320g,泰国Mogu Mogu 椰果果汁 菠萝味 320g,Beverages
thailand mogu mogu coconut juice strawberry flavor - 320g,泰国Mogu Mogu 椰果果汁 草莓味 320g,Beverages
tiger sugar brown sugar milk tea,老虎堂 黑糖奶茶,Beverages
tiger sugar probiotics lactobacillus drink strawberry flavor,老虎堂 益生菌草莓味乳酸茵,Beverages
tomomasu mango cider (1 pc),友傑 芒果味碳酸饮料 (1 pc),Beverages
u love it milk tea mixed packaging (4 pc),优乐美 奶茶 混合裝 (4个),Beverages
ucc black coffee - 288ml,UCC黑咖啡 288ml,Beverages
unif assam green tea milk tea drink - 450ml,台湾统一 阿萨姆煎茶奶绿 450ml,Beverages
vita chrysanthemum tea - 250ml (6 pc),维他 菊花茶 250ml (6盒),Beverages
vita lemon tea drink - 250ml (6 packs),维他 柠檬茶 250ml (6盒),Beverages
vita lychee juice - 250ml (6 packs),维他 茘枝汁 250ml (6盒),Beverages
vita soy malted soya drink - 250ml (6 count),维他 麦精豆奶 250ml (6盒),Beverages
vita soy milk - 250ml (6 packs),维他 豆奶 250ml (6盒),Beverages
vita soy milk chocolate flavor - 250ml (6 pc),维他 朱古力豆奶 250ml (6盒),Beverages
vta mango juice drink - 250ml (6 packs),维他芒果汁 250ml (6盒),Beverages
wahaha vitamin ad & calcium drink (4 pc),娃哈哈 AD钙奶饮品 (4瓶),Beverages
want want hot-kid milk drink (6 cans),旺仔牛奶 (6罐),Beverages
wong lo kat black herbal tea -310g,王老吉 黑凉茶 310ml,Beverages
wong lo kat herbal tea - 310ml (1 can),王老吉 凉茶 310ml (1罐),Beverages
wong lo kat herbal tea - 310ml (6 cans),王老吉 凉茶 310ml (6罐),Beverages
xiang piao piao bubble tea mix matcha flavor - 85g (4 packs),香飘飘 珍珠系抹茶双拼 85g (4杯),Beverages
xiang piao piao milk tea original flavor -80g (3 packs),香飘飘 原味奶茶 80g (3杯),Beverages
xiang piao piao milk tea strawberry flavor - 80g (3 packs),香飘飘 草莓奶茶 80g (3杯),Beverages
xiao lu luan zhuang shake milk tea berry & peach flavor (1 pc),小鹿乱撞 爆摇奶茶 芝芝莓桃味 (1 pc),Beverages
xiao lu luan zhuang shake milk tea chocolate flavor - 58g,小鹿乱撞 爆摇奶茶 脏脏可可 58g,Beverages
xiao ming lemon tea,小茗同学 青柠红茶,Beverages
xiao ming liuliu tea drink,小茗同学 溜溜哒茶,Beverages
xiao ming wheat black tea - 480ml,小茗同学 大麦红茶 480ml,Beverages
xiao yang yogurt drink original flavor (4 count),小样小乳酸 原味 330ml (4瓶),Beverages
xin yuan zhai osmanthus plum juice,信远斋 酸梅汤饮料,Beverages
yakult (5 pc),养乐多 (5罐),Beverages
yeshu coconut drink (6 pc),椰树牌椰汁 (6盒),Beverages
yili light drink original flavor - 500ml,伊利 伊然乳矿轻饮 牛乳味 零脂肪低糖 500ml,Beverages
ajino gyu don topping - 6.3oz,日本味之素 牛肉饭酱汁 6.3oz,Frozen Foods
ajino karaage fried chicken,日本Ajino 炸鸡,Frozen Foods
asian taste frozen edamame peel 16oz,东之味 毛豆仁 454g,Frozen Foods
beef ball,牛肉丸,Frozen Foods
boiled sweet corn,五彩糯玉米,Frozen Foods
chengdu lai rice ball black sesame flavor - 7.05oz,成都赖汤圆 芝麻汤圆 200g,Frozen Foods
chengdu lai rice ball brown sugar flavor - 400g,成都赖汤圆 红糖汤圆 400g,Frozen Foods
chengdu lai rice ball peanut flavor - 7.05oz,成都赖汤圆 花生汤圆 200g,Frozen Foods
chengdu lai rice ball rose flavor - 400g,成都赖汤圆 玫瑰汤圆 400g,Frozen Foods
crab meat sticks - 500g,蟹肉棒 500g,Frozen Foods
cuttle fish ball,花枝丸,Frozen Foods
fish ball,鱼丸,Frozen Foods
frozen seasoned seaweed salad sweet & sour flavor,速冻调味裙带菜 酸甜味,Frozen Foods
futaba mini ice cream (6 pc),Futaba 迷你冰淇淋 (6支),Frozen Foods
futaba mini ice cream matcha flavor (6 pc),Futaba冰淇淋 抹茶味 (6支),Frozen Foods
